nucleus,thermal-fission,thermal-elastic,thermal-capture,thermal-total,fast-fission,fast-elastic,fast-capture,fast-total,density
U235,590,15,100,705,1.2,5.5,0.1,6.8,19.1
U238,0,10,3,13,0.01,6.9,0.1,7.01,19.1
